Name,sat_score,Number of Exams with scores 3 4 or 5,AVERAGE CLASS SIZE,total_enrollment,ell_percent,asian_per,black_per,white_per,hispanic_per,male_per,female_per,school_dist,saf_s_11
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES      ,1186,12,23.2125,311,21.9,3.2,26,1,68.8,45.3,54.7,7,6
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL         ,1103,153.45,24.40666667,502,14.1,1.4,41.2,1,56,54,46,7,6.7
NEW EXPLORERS HIGH SCHOOL                       ,1084,153.45,24.15454545,383,15.7,0.5,30.3,0.5,68.1,57.7,42.3,7,7.7
ACADEMY FOR CAREERS IN SPORTS                   ,1181,153.45,25.53888889,477,5,0.4,26.6,0.4,70.4,84.3,15.7,7,7.2
BRONX ACADEMY OF LETTERS                        ,1201,37,23.12,555,9.4,0.5,34.1,0.9,64.3,44.5,55.5,7,6.3
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,1158,153.45,27.3,738,9.1,1.4,35.9,0.7,61.5,92.7,7.3,7,5.7
HEALTH OPPORTUNITIES HIGH SCHOOL                ,1095,29,25.73333333,587,10.4,3.1,39.2,0.5,56.9,28.6,71.4,7,6.3
BRONX STUDIO SCHOOL                             ,1223.438806,153.45,27.22857143,500,9.2,1.2,22.4,1,74.8,44,56,8,6.611666667
YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX           ,1171,153.45,22,379,2.6,2.9,45.9,2.4,46.4,0.3,99.7,8,6.3
RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TEC,1158,14,25.82666667,469,4.5,2.6,25.4,7.7,63.8,38,62,8,6.9
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ,1038,153.45,19.67692308,359,15.9,2.5,26.2,1.4,69.9,66,34,8,6.3
MILLENNIUM ART ACADEMY                          ,1164,153.45,28.15714286,496,5.4,1.8,32.5,1,64.3,49.2,50.8,8,6.4
HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH ,1084,153.45,19.68823529,333,12.6,0.9,39.9,0.6,56.8,49.2,50.8,8,6.8
ANTONIA PANTOJA PREPARATORY ACADEMY             ,1223.438806,153.45,23.5,432,7.4,4.9,27.8,0.7,66,47,53,8,5.6
HERBERT LEHMAN HIGH SCHOOL                      ,1241,197,27.48421053,3593,9.2,6.8,23,9,60.6,61.1,38.9,8,5.5
BRONX BRIDGES HIGH SCHOOL                       ,1223.438806,153.45,19.08,155,79.4,5.2,8.4,2.6,83.2,52.3,47.7,8,6.9
THE FELISA RINCON DE GAUTIER INSTITUTE FOR LAW A,1099,153.45,24.01875,363,14,1.4,21.8,0.6,76,43,57,8,5.7
BANANA KELLY HIGH SCHOOL                        ,1131,153.45,25.28461538,451,13.5,0.7,32.6,1.1,65.4,49.9,50.1,8,7
BRONX EXPEDITIONARY LEARNING HIGH SCHOOL        ,1049,153.45,22.71428571,355,29.3,1.1,27.9,0.8,69.3,50.1,49.9,9,6.5
EAGLE ACADEMY FOR YOUNG MEN                     ,1134,11,25.47333333,550,4,0.7,63.1,0.5,33.8,100,0,9,5.8
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIEN,1290,153.45,21.52941176,606,9.4,2.6,32,1.5,63.4,49.3,50.7,9,6.8
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE B,1169,11,24.60769231,356,8.1,0.6,40.7,0.3,58.1,46.6,53.4,9,7.3
MOTT HALL BRONX HIGH SCHOOL                     ,1092,153.45,27.71428571,354,8.8,1.1,24.3,0.8,73.7,45.8,54,9,6.6
BRONX CENTER FOR SCIENCE AND MATHEMATICS        ,1396,35,22.67058824,444,1.6,5.9,24.3,1.1,68.7,46.2,53.8,9,7.1
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LE,1075,153.45,26.28571429,365,12.1,1.1,34.2,0.3,63.8,44.1,55.9,9,7.6
LEADERSHIP INSTITUTE                            ,1081,7,22.1,230,16.5,1.7,33,1.3,63.5,52.2,47.8,9,7.1
MORRIS ACADEMY FOR COLLABORATIVE STUDIES        ,1148,153.45,22.84666667,450,19.1,0.4,26,0.4,73.1,53.8,46.2,9,6.4
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARN,1223.438806,153.45,27.9625,493,11,3,32,0.2,64.5,48.5,51.5,9,6.7
DREAMYARD PREPARATORY SCHOOL                    ,1138,153.45,22.88571429,349,24.4,0,26.9,0.3,69.9,44.1,55.9,9,6
ACADEMY FOR LANGUAGE AND TECHNOLOGY             ,951,20,23.71428571,336,86.6,0,0.6,0,99.4,48.8,51.2,9,7.5
BRONX INTERNATIONAL HIGH SCHOOL                 ,965,153.45,15.61111111,403,87.1,1,22.8,3.7,72.2,45.7,54.3,9,7
SCHOOL FOR EXCELLENCE                           ,1074,153.45,24.3,386,20.7,0.3,34.5,0,64.5,52.3,47.7,9,6.9
BRONX HIGH SCHOOL OF BUSINESS                   ,1083,9,23.18461538,401,23.2,0.7,38.7,0.5,59.9,54.9,45.1,9,6.1
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE           ,1221,153.45,26.03571429,455,5.7,5.3,36.7,0.2,57.8,42.2,57.8,9,6
BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE     ,1224,27,27.76666667,763,6.6,2,30.4,1,66.2,45.9,54.1,9,6.5
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL ,1121,153.45,22.95625,532,6.4,1.1,56.2,0.4,41.4,51.5,48.5,9,6.5
BRONX LEADERSHIP ACADEMY HIGH SCHOOL            ,1166,8,26.86875,705,9.6,0.7,41.1,0,57,43.3,56.7,9,6.1
HIGH SCHOOL FOR VIOLIN AND DANCE                ,1039,153.45,22.5,323,8.7,0.3,36.8,0,62.5,14.6,85.4,9,6.6
RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141)       ,1333,119,26.79411765,1337,6.7,8.8,13,24.9,53,51.8,48.2,10,5.9
BRONX ENGINEERING AND TECHNOLOGY ACADEMY        ,1150,10,22.02307692,444,15.5,5.2,29.5,0.9,64.2,82.7,17.3,10,6.5
THEATRE ARTS PRODUCTION COMPANY SCHOOL          ,1190,153.45,25.04,524,4.4,1.1,27.3,1.1,69.7,30.9,69.1,10,7.7
THE MARIE CURIE SCHOOL FOR MEDICINE             ,1157,153.45,25.8125,540,6.7,1.5,35.6,3.3,57.4,16.5,83.5,10,5.9
WEST BRONX ACADEMY FOR THE FUTURE               ,1158,14,25.04285714,636,13.2,3.5,24.7,1.3,69.5,57.9,42.1,10,6.6
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL           ,962,153.45,29.62857143,497,88.7,6.8,5.4,3,84.7,52.3,47.7,10,6.9
BRONX SCHOOL OF LAW AND FINANCE                 ,1182,153.45,23.35882353,422,7.1,0.7,31.5,2.6,65.2,56.6,43.4,10,6.1
INTERNATIONAL SCHOOL OF LIBERAL ARTS            ,934,45,23.72307692,606,79.9,0.2,0,0,99.8,49,51,10,7.4
INTECH ACADEMY (MS/HS 368)                     ,1181,17,26.26666667,1126,12.1,4,11.9,2,81.9,48.9,51.1,10,6.5
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNAT,1180,153.45,22.75,324,9.3,0.9,35.2,3.1,59.9,47.2,52.8,10,7.2
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS    ,1106,13,20.8,473,17.8,2.5,25.2,1.9,70.4,42.3,57.7,10,5.9
BELMONT PREPARATORY HIGH SCHOOL                 ,1222,10,22.36,407,11.3,3.2,29,1.7,65.6,47.2,52.8,10,6
FORDHAM HIGH SCHOOL FOR THE ARTS                ,1077,153.45,22.88823529,387,12.4,1.6,35.7,1.3,61.5,43.2,56.8,10,7
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECH,1119,12,21.35625,451,16.6,2.7,27.7,1.3,67.8,63.4,36.6,10,5.8
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE ,1082,9,21.72941176,432,13.4,2.3,30.8,0.9,64.6,44.4,55.6,10,6
DEWITT CLINTON HIGH SCHOOL                      ,1255,262,26.05263158,4159,19,6.7,30.8,2.1,59.6,51.1,48.9,10,5.2
THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC       ,1270,8,23.26111111,423,3.5,0.5,27.2,2.4,69.5,40.7,59.3,10,6.5
BRONX HIGH SCHOOL OF SCIENCE                    ,1969,2189,31.16315789,3013,0.1,63.5,3.5,25.4,7.2,57.8,42.2,10,6.8
MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIE,1263,37,23.15882353,456,32.2,11,23,7.5,57.9,46.7,53.3,10,7.1
BRONX THEATRE HIGH SCHOOL                       ,1064,153.45,24.12307692,445,9.4,0.4,28.8,1.8,69,32.1,67.9,10,7.4
DISCOVERY HIGH SCHOOL                           ,1115,153.45,23.85384615,529,20.6,2.1,20.2,1.3,75.6,52.4,47.6,10,6.2
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEG,1920,243,22.18947368,377,0,16.7,10.6,53.8,18,53.8,46.2,10,8.1
BRONX HEALTH SCIENCES HIGH SCHOOL               ,1133,153.45,22.67142857,377,6.1,4.8,56.8,0.5,36.3,35.3,64.7,11,6.3
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ,1147,153.45,23.66,422,8.5,2.4,48.3,1.7,47.6,40.8,59.2,11,5.5
BRONX LAB SCHOOL                                ,1135,153.45,22.07857143,482,3.7,2.7,37.8,1.7,57.3,59.5,40.5,11,6.4
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A ,1141,153.45,28.15714286,606,6.3,2.5,63.7,0.7,32,52,48,11,5.2
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY         ,1111,153.45,28.3,550,10.2,3.6,34.9,1.3,59.5,87.3,12.7,11,6.3
COLLEGIATE INSTITUTE OF MATH AND SCIENCE        ,1348,33,24.11764706,543,3.3,9.2,36.8,7,46.8,57.1,42.9,11,7.2
BRONX ACADEMY OF HEALTH CAREERS                 ,1135,153.45,27.10625,483,7.7,3.3,52.6,1,41.2,32.7,67.3,11,5.9
ASTOR COLLEGIATE ACADEMY                        ,1169,12,24.19333333,498,7.6,5.4,35.7,11.8,46,58.6,41.4,11,5.9
BRONX HIGH SCHOOL FOR THE VISUAL ARTS           ,1268,9,26.96470588,483,5.2,1.9,29.2,6.4,62.3,58,42,11,6.3
HARRY S TRUMAN HIGH SCHOOL                      ,1151,27,28.54444444,1773,9.2,2,51.8,1.3,43.8,60,40,11,6
NEW WORLD HIGH SCHOOL                           ,1048,153.45,21.71666667,402,80.1,12.4,13.2,3.2,70.4,50,50,11,7.1
SPORTS PROFESSIONS HIGH SCHOOL                  ,1112,153.45,22.9875,416,7,1.9,58.2,1,37.3,61.3,38.7,11,6
PELHAM PREPARATORY ACADEMY                      ,1288,17,27.45294118,507,2.2,2.4,40.2,6.9,49.7,48.1,51.9,11,6.4
HIGH SCHOOL FOR CONTEMPORARY ARTS               ,1126,153.45,25.62352941,479,10.2,1,37.2,1,59.9,55.3,44.7,11,6.7
BRONX AEROSPACE ACADEMY                         ,1163,153.45,20.77368421,416,14.7,2.2,23.8,1.2,72.6,82.5,17.5,11,5.6
THE METROPOLITAN HIGH SCHOOL                    ,1055,153.45,23.29230769,339,21.8,1.8,24.2,0.9,72.9,54,46,12,6.8
EXPLORATIONS ACADEMY                            ,1122,153.45,21.15625,362,19.9,1.7,31.2,1.4,65.5,50.8,49.2,12,6.9
BRONX LATIN                                     ,1251,153.45,21.7,418,13.6,0.2,25.6,1,73.2,49.8,50.2,12,8.5
EAST BRONX ACADEMY FOR THE FUTURE               ,1102,153.45,26.97857143,619,11.6,1.9,29.4,0.2,68.3,53,47,12,6.8
PEACE AND DIVERSITY ACADEMY                     ,1155,153.45,21.04210526,231,13.9,1.7,43.7,0.9,53.7,45,55,12,8.6
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,970,153.45,15.36153846,406,92.9,0,0,0,99.8,51.5,48.5,12,6.8
THE CINEMA SCHOOL                               ,1223.438806,153.45,22.69090909,223,4,4.5,28.7,1.8,65,40.8,59.2,12,7.5
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,1223.438806,153.45,21.94285714,244,16.8,2.5,37.3,0.4,59.8,44.3,55.7,12,6.5
HIGH SCHOOL OF WORLD CULTURES                   ,939,153.45,23.16666667,369,86.4,2.4,10.8,0.5,84.6,52,48,12,7.8
FANNIE LOU HAMER FREEDOM HIGH SCHOOL            ,1029,153.45,22.46666667,477,11.5,0.2,30.6,0.2,68.8,54.1,45.9,12,6.6
